x\y 0,00508699100701464 0,0134390275987978 0,0282672206071518 0,0392146259728887 0,102703861008726 0,116879100034423 0,122268985082521 0,208989207730158 0,300859099859772 0,422032429101892 0,425736080122057 0,495104750383228 0,503900905840053 0,525554583187008 0,526292511507074 0,552791373130303 0,677866685054203 0,689360732533671 0,724250524176401 0,727127123031359 0,776136293437395 0,802519568150174 0,815874481953622 0,827726719355083 0,831035563177911 0,836106660699522 0,899120772676133 0,901551428670786 0,920566551815982 0,93783467446353 0,951564703114128 0,985239568159561 
4 -0,378711219820346 -0,464081022473554 -0,56084425014171 -0,617530678858786 -0,878771082753009 -0,931699351287525 -0,951686735208031 -1,27756941620926 -1,66512194607019 -2,31837523359031 -2,34209684119818 -2,84500718690511 -2,91810777451222 -3,10896345639456 -3,11575926516879 -3,37396365851979 -5,1439715316664 -5,37648015400203 -6,1992836876164 -6,27640095502064 -7,89181463767461 -9,0909487486236 -9,82826304535998 -10,57796811002 -10,8059808643997 -11,1732411933325 -18,8079674953265 -19,2979055162076 -24,164517461641 -31,1615796276416 -40,2839264415199 -134,494912301679 
8 -0,535578543292791 -0,656309676022073 -0,793153544929375 -0,873320261223559 -1,24276998345059 -1,31762185864503 -1,34588828806177 -1,80675599527621 -2,35483803913755 -3,2786776980133 -3,31222511721366 -4,02344774877014 -4,12682759118155 -4,39673828495552 -4,40634900989133 -4,77150516483264 -7,27467430454373 -7,60349115161945 -8,76711106802541 -8,87617135348163 -11,160711292334 -12,8565430151422 -13,8992628933184 -14,9595059635404 -15,2819646931782 -15,8013492312765 -26,5984827125631 -27,2913597064154 -34,1737883224541 -44,0691285343799 -56,9700751192376 -190,204529047215 
12 -0,655947074125224 -0,803811909752709 -0,97141073637831 -1,06959451101592 -1,52207616355053 -1,61375061380896 -1,64836977826966 -2,21281513907055 -2,88407581139154 -4,01554369558777 -4,05663072520183 -4,92769699561826 -5,0543109274169 -5,38488266535032 -5,39665335142581 -5,84387647944725 -8,90962004553411 -9,31233679261725 -10,7374743174846 -10,8710453427696 -13,6690239163682 -15,7459851216208 -17,0230509447151 -18,321578207398 -18,7165078827574 -19,3526214320734 -32,5763552890095 -33,4249528337353 -41,8541719839475 -53,9734391591786 -69,7738073250799 -232,952021466029 
16 -0,757422439640691 -0,928162044947107 -1,12168850028342 -1,23506135771757 -1,75754216550602 -1,86339870257505 -1,90337347041606 -2,55513883241852 -3,33024389214039 -4,63675046718061 -4,68419368239636 -5,69001437381023 -5,83621554902443 -6,21792691278911 -6,23151853033757 -6,74792731703958 -10,2879430633328 -10,7529603080041 -12,3985673752328 -12,5528019100413 -15,7836292753492 -18,1818974972472 -19,65652609072 -21,15593622004 -21,6119617287995 -22,346482386665 -37,6159349906531 -38,5958110324152 -48,3290349232819 -62,3231592552833 -80,5678528830399 -268,989824603358 
20 -0,846824031360158 -1,03771671331847 -1,25408586810676 -1,38084057611984 -1,96499187769682 -2,08334308407136 -2,12803623321 -2,85673206061863 -3,72332586223969 -5,18404461965988 -5,23708774680667 -6,36162946639528 -6,52508734947994 -6,95185362806093 -6,9670495184422 -7,54441209406414 -11,5022700191298 -12,0221751040271 -13,8620197373158 -14,0344591894708 -17,6466339956683 -20,327979381889 -21,976664270174 -23,6530557578297 -24,1629077763597 -24,9841268372923 -42,0558938381566 -43,1514285576084 -54,0335036877099 -69,6794103336793 -90,0775979238398 -300,739766534427 
24 -0,927649248426842 -1,1367617043693 -1,37378223802104 -1,51263506371853 -2,15254075345796 -2,28218800433653 -2,33114689623488 -3,12939318069808 -4,0786991273821 -5,67883635460201 -5,73694218911983 -6,9688159224685 -7,14787506200352 -7,6153740971262 -7,63202036101259 -8,26448937406744 -12,6001055039855 -13,1696329895053 -15,1850818054194 -15,3739797609176 -19,3309190069301 -22,2681857119211 -24,0742295189842 -25,9106243849816 -26,4691392880584 -27,3687396967104 -46,0699234624018 -47,2700216191495 -59,1907376615945 -76,3299696668294 -98,6750646175351 -329,443908139486 
28 -1,00197570635455 -1,2278429736496 -1,48385441011547 -1,63383260321324 -2,32500974431942 -2,465044780187 -2,51792642739943 -3,38013095791167 -4,40549857189764 -6,13384431381123 -6,19660578824033 -7,52718149474238 -7,72058747024347 -8,2255441408078 -8,24352416078196 -8,92666877301302 -13,6096694239853 -14,2248294163636 -16,4017629441724 -16,6057960555129 -20,8797789243063 -24,0523895704919 -26,0031398377488 -27,9866729954849 -28,5899380393245 -29,5616175361003 -49,7612046592204 -51,0574588203069 -63,9333037553798 -82,4457901546765 -106,581251197481 -355,840090553685 
32 -1,07115708658558 -1,31261935204415 -1,58630708985875 -1,74664052244712 -2,48553996690119 -2,63524371729006 -2,69177657612354 -3,61351199055243 -4,7096760782751 -6,5573553960266 -6,62445023442731 -8,04689549754027 -8,25365518236309 -8,79347656991103 -8,81269801978265 -9,54301032966527 -14,5493486090875 -15,2069823032389 -17,5342221360508 -17,7523427069633 -22,3214225846679 -25,7130860302844 -27,7985257866368 -29,9190119270808 -30,5639293863565 -31,6026984625531 -53,1969654251263 -54,5827194128308 -68,3475766449082 -88,1382570687599 -113,940150238475 -380,409058094429 
36 -1,13613365946104 -1,39224306742066 -1,68253275042513 -1,85259203657636 -2,63631324825903 -2,79509805386257 -2,85506020562409 -3,83270824862778 -4,99536583821058 -6,95512570077092 -7,02629052359455 -8,53502156071534 -8,75432332353665 -9,32689036918367 -9,34727779550636 -10,1218909755594 -15,4319145949992 -16,1294404620061 -18,5978510628492 -18,8292028650619 -23,6754439130238 -27,2728462458708 -29,4847891360799 -31,73390433006 -32,4179425931992 -33,5197235799975 -56,4239024859796 -57,8937165486229 -72,4935523849229 -93,4847388829249 -120,85177932456 -403,484736905037 
